                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4349,                 1.0191,                 1.2297,                 0.6635,                0.59311,                0.64041,                0.33595,                 1.5851,                 1.1692,                 1.3446,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.4059,                 1.0027,                 1.2172,                0.66258,                0.60714,                0.64264,                0.34064,                 1.5933,                 1.1743,                 1.3595,              0.0093268,              0.0093268,              0.0093268
                     36,                  1.383,                0.98467,                 1.2036,                0.63744,                0.58546,                0.61764,                0.33123,                 1.5924,                 1.1812,                 1.3512,               0.009307,               0.009307,               0.009307
                     37,                 1.3844,                0.96595,                 1.1967,                0.69164,                0.58482,                0.63444,                0.33401,                 1.6044,                 1.1625,                 1.3738,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.3788,                 0.9481,                 1.1999,                0.67795,                0.60818,                0.64839,                 0.3434,                  1.571,                 1.1765,                 1.3417,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.3702,                0.94832,                 1.1905,                0.67223,                0.61344,                0.65247,                0.34683,                 1.5619,                 1.1458,                 1.3246,              0.0092476,              0.0092476,              0.0092476
                     40,                  1.361,                  0.932,                 1.2022,                0.69341,                0.58563,                0.63709,                0.34092,                  1.565,                 1.1467,                 1.3473,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.3373,                0.92118,                 1.1776,                0.66697,                0.60077,                0.64437,                0.33922,                 1.5773,                 1.1591,                 1.3632,               0.009208,               0.009208,               0.009208
                     42,                 1.3401,                0.89952,                 1.1766,                0.65557,                0.61097,                0.62927,                0.33934,                 1.5752,                 1.1466,                 1.3655,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.3277,                0.89457,                 1.1687,                0.71256,                0.62181,                0.66576,                0.35408,                 1.5747,                 1.1233,                 1.3685,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.3165,                0.90312,                 1.1716,                0.67124,                0.60941,                0.63719,                0.34758,                 1.5571,                 1.1455,                 1.3567,              0.0091486,              0.0091486,              0.0091486
